"dog_id" "context_id" "day_since_arrival" "behaviour_code_name" "behaviour_code_number" "behaviour_code_colour"
2 1 66 NA NA NA
2 2 66 NA NA NA
2 3 66 "[EX] Excitable" 2 1
2 4 66 "[RE] Relaxed" 1 1
2 5 66 "[ST] Stressed" 4 1
2 6 66 "[EX] Excitable" 2 1
2 7 66 NA NA NA
2 8 66 "[EQ] Eats Quickly" 6 2
2 1 67 NA NA NA
2 2 67 NA NA NA
2 3 67 "[FR] Friendly" 1 1
2 4 67 NA NA NA
2 5 67 "[RE] Relaxed" 1 1
2 6 67 "[RE] Relaxed" 1 1
2 7 67 "[PL] Playful" 2 1
2 8 67 NA NA NA
2 1 68 "[PL] Playful" 2 1
2 2 68 NA NA NA
2 3 68 "[EX] Excitable" 2 1
2 4 68 "[EX] Excitable" 2 1
2 5 68 "[ST] Stressed" 4 1
2 6 68 "[EX] Excitable" 2 1
2 7 68 NA NA NA
2 8 68 "[RE] Relaxed" 1 1
2 1 69 NA NA NA
2 2 69 NA NA NA
2 3 69 NA NA NA
2 4 69 NA NA NA
2 5 69 NA NA NA
2 6 69 NA NA NA
2 7 69 NA NA NA
2 8 69 NA NA NA
2 1 70 NA NA NA
2 2 70 NA NA NA
2 3 70 NA NA NA
2 4 70 NA NA NA
2 5 70 NA NA NA
2 6 70 NA NA NA
2 7 70 NA NA NA
2 8 70 NA NA NA
2 1 71 NA NA NA
2 2 71 NA NA NA
2 3 71 NA NA NA
2 4 71 NA NA NA
2 5 71 NA NA NA
2 6 71 NA NA NA
2 7 71 NA NA NA
2 8 71 NA NA NA
2 1 72 NA NA NA
2 2 72 NA NA NA
2 3 72 NA NA NA
2 4 72 NA NA NA
2 5 72 NA NA NA
2 6 72 NA NA NA
2 7 72 NA NA NA
2 8 72 NA NA NA
2 1 73 NA NA NA
2 2 73 NA NA NA
2 3 73 NA NA NA
2 4 73 NA NA NA
2 5 73 NA NA NA
2 6 73 NA NA NA
2 7 73 NA NA NA
2 8 73 NA NA NA
2 1 74 "[PL] Playful" 2 1
2 2 74 NA NA NA
2 3 74 "[FR] Friendly" 1 1
2 4 74 "[RE] Relaxed" 1 1
2 5 74 "[ST] Stressed" 4 1
2 6 74 "[RE] Relaxed" 1 1
2 7 74 "[PL] Playful" 2 1
2 8 74 "[RE] Relaxed" 1 1
2 1 75 "[IN] Independent" 3 1
2 2 75 NA NA NA
2 3 75 "[FR] Friendly" 1 1
2 4 75 NA NA NA
2 5 75 "[RE] Relaxed" 1 1
2 6 75 "[RE] Relaxed" 1 1
2 7 75 "[PL] Playful" 2 1
2 8 75 NA NA NA
2 1 76 "[PL] Playful" 16 3
2 2 76 NA NA NA
2 3 76 "[FR] Friendly" 1 1
2 4 76 "[RE] Relaxed" 1 1
2 5 76 "[RPNA] React to People Non-Aggressive" 7 2
2 6 76 "[UN] Unsure" 4 1
2 7 76 "[PL] Playful" 2 1
2 8 76 "[RE] Relaxed" 1 1
2 1 77 "[UAV] Uncomfortable Avoids" 6 2
2 2 77 NA NA NA
2 3 77 "[FR] Friendly" 1 1
2 4 77 NA NA NA
2 5 77 "[RE] Relaxed" 1 1
2 6 77 "[RE] Relaxed" 1 1
2 7 77 NA NA NA
2 8 77 "[RE] Relaxed" 1 1
2 1 78 NA NA NA
2 2 78 NA NA NA
2 3 78 NA NA NA
2 4 78 NA NA NA
2 5 78 NA NA NA
2 6 78 NA NA NA
2 7 78 NA NA NA
2 8 78 NA NA NA
2 1 79 NA NA NA
2 2 79 NA NA NA
2 3 79 NA NA NA
2 4 79 NA NA NA
2 5 79 NA NA NA
2 6 79 NA NA NA
2 7 79 NA NA NA
2 8 79 NA NA NA
2 1 80 NA NA NA
2 2 80 NA NA NA
2 3 80 NA NA NA
2 4 80 NA NA NA
2 5 80 NA NA NA
2 6 80 NA NA NA
2 7 80 NA NA NA
2 8 80 NA NA NA
2 1 81 NA NA NA
2 2 81 NA NA NA
2 3 81 NA NA NA
2 4 81 NA NA NA
2 5 81 NA NA NA
2 6 81 NA NA NA
2 7 81 NA NA NA
2 8 81 NA NA NA
2 1 82 NA NA NA
2 2 82 NA NA NA
2 3 82 "[FR] Friendly" 1 1
2 4 82 "[RE] Relaxed" 1 1
2 5 82 "[RE] Relaxed" 1 1
2 6 82 "[RE] Relaxed" 1 1
2 7 82 "[PL] Playful" 2 1
2 8 82 "[RE] Relaxed" 1 1
2 1 83 NA NA NA
2 2 83 "[FR] Friendly" 1 1
2 3 83 "[FR] Friendly" 1 1
2 4 83 NA NA NA
2 5 83 "[RE] Relaxed" 1 1
2 6 83 "[RE] Relaxed" 1 1
2 7 83 NA NA NA
2 8 83 "[RE] Relaxed" 1 1
2 1 84 NA NA NA
2 2 84 NA NA NA
2 3 84 "[FR] Friendly" 1 1
2 4 84 NA NA NA
