Inference for Stan model: jhb_ordinal_hurdle_model_model
2 chains: each with iter=(5000,5000); warmup=(0,0); thin=(1,1); 10000 iterations saved.

Warmup took (51891, 52317) seconds, 29 hours total
Sampling took (207010, 208747) seconds, 115 hours total

                    Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
L_g[3,3]         9.1e-01  1.0e-03  7.4e-02   7.7e-01   9.3e-01   9.9e-01  5.2e+03  1.2e-02  1.0e+00
L_g[3,4]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[3,5]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[3,6]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[4,1]         3.0e-01  2.8e-03  2.4e-01  -1.2e-01   3.1e-01   6.6e-01  7.0e+03  1.7e-02  1.0e+00
L_g[4,2]         7.0e-02  3.1e-03  2.6e-01  -3.6e-01   7.1e-02   4.9e-01  7.1e+03  1.7e-02  1.0e+00
L_g[4,3]         1.4e-02  2.8e-03  2.4e-01  -3.8e-01   1.3e-02   4.1e-01  7.2e+03  1.7e-02  1.0e+00
L_g[4,4]         8.5e-01  1.3e-03  9.7e-02   6.6e-01   8.7e-01   9.8e-01  6.0e+03  1.4e-02  1.0e+00
L_g[4,5]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[4,6]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[5,1]         1.5e-01  2.5e-03  2.4e-01  -2.6e-01   1.6e-01   5.4e-01  9.7e+03  2.3e-02  1.0e+00
L_g[5,2]        -1.2e-02  2.7e-03  2.7e-01  -4.5e-01  -1.6e-02   4.3e-01  9.7e+03  2.3e-02  1.0e+00
L_g[5,3]        -2.0e-01  2.6e-03  2.4e-01  -5.9e-01  -2.1e-01   2.1e-01  9.0e+03  2.2e-02  1.0e+00
L_g[5,4]        -1.6e-01  2.8e-03  2.6e-01  -5.8e-01  -1.7e-01   2.8e-01  8.5e+03  2.0e-02  1.0e+00
L_g[5,5]         8.0e-01  1.6e-03  1.2e-01   5.6e-01   8.2e-01   9.6e-01  6.2e+03  1.5e-02  1.0e+00
L_g[5,6]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[6,1]         1.4e-01  2.4e-03  2.8e-01  -3.5e-01   1.5e-01   5.8e-01  1.4e+04  3.5e-02  1.0e+00
